Source,Title,Author,Content/Description,Date
NYT,The Paris Agreement on Climate Change Is Official. Now What?,By Keith Bradsher,"Top energy policy makers and corporate leaders say it will be challenging to meet even the deal’s modest goals to reduce emissions and greenhouse gases. Top energy policy makers and corporate leaders say it will be challenging to meet even the deal’s modest goals to reduce emissions and greenhouse gases. PARIS — When the landmark Paris Agreement to address climate change officially goes into effect on Friday, the Eiffel Tower and Arc de Triomphe will be floodlit green to celebrate the occasion. Now comes the hard work: figuring out the details.",2016-11-03
NYT,Trump’s Stance on the Paris Climate Agreement is Criticized by 375 Scientists,By Andrew C. Revkin,"Without naming him, several hundred of the nation’s leading scientists press Donald Trump to take climate change, and climate diplomacy, seriously. Without naming him, several hundred of the nation’s leading scientists press Donald Trump to take climate change, and climate diplomacy, seriously. Yesterday, 375 members of the National Academy of Sciences, including 30 Nobel Prize winners, posted an open letter reviewing the basics of established climate science, decrying claims of hoax and hype spouted by Republicans during the presidential campaign and warning against the United States pulling out of the Paris Agreement on climate change.",2016-09-21
NYT,Obama and President Xi of China Vow to Sign Paris Climate Accord Promptly,By Coral Davenport,"Officials cast the announcement as a statement of resolve by the world’s two largest greenhouse gas polluters, even though there are doubts about whether the United States can meet its obligations. Officials cast the announcement as a statement of resolve by the world’s two largest greenhouse gas polluters, even though there are doubts about whether the United States can meet its obligations. WASHINGTON — President Obama and President Xi Jinping of China said Thursday that they would sign the Paris Agreement on climate change on April 22, the first day the United Nations accord will be open for government signatures.",2016-04-01
NYT,Draft Agreement for Paris Climate Negotiators,,The working version of text that negotiators at the Paris climate conference will mark up on Thursday. The working version of text that negotiators at the Paris climate conference will mark up on Thursday. The working version of text that negotiators at the Paris climate conference will mark up on Thursday.,2015-12-03
NYT,A New Draft Agreement for Paris Climate Negotiators,,A new version was released of the international agreement that negotiators at the Paris climate conference have been haggling over for more than a week. A new version was released of the international agreement that negotiators at the Paris climate conference have been haggling over for more than a week. A new version was released of the international agreement that negotiators at the Paris climate conference have been haggling over for more than a week.,2015-12-09
NYT,Dec. 10 Draft Agreement for Paris Climate Negotiators,,The latest version of the international agreement that negotiators at the Paris climate conference have been haggling over. The latest version of the international agreement that negotiators at the Paris climate conference have been haggling over. The latest version of the international agreement that negotiators at the Paris climate conference have been haggling over.,2015-12-11
NYT,On the Media and the [Landmark][Disastrous] Paris Climate Agreement,By Andrew C. Revkin,Journalists examine dueling proclamations of success and failure that emerged from Paris climate treaty talks. Journalists examine dueling proclamations of success and failure that emerged from Paris climate treaty talks. The public radio program On the Media sought me out this week to join host Brooke Gladstone and Jonathan M. Katz of The New Republic in a discussion of the many conflicting interpretations of the climate change agreement reached in Paris on December 12. (I laid out my views in a guest Opinion column last Sunday.),2015-12-19
NYT,Paris Climate Deal Passes Milestone as 20 More Nations Sign On,By Coral Davenport,"The moves essentially ensure that the agreement will go into force by the end of the year, but the specifics of each country’s plans to curb climate change are voluntary. The moves essentially ensure that the agreement will go into force by the end of the year, but the specifics of each country’s plans to curb climate change are voluntary. UNITED NATIONS — More than 20 world leaders tendered legal documents on Wednesday, formally binding their governments to the Paris climate accord at a General Assembly ceremony here and all but ensuring that the agreement will go into force by the end of the year.",2016-09-22
NYT,Leaders Move to Convert Paris Climate Pledges Into Action,By Sewell Chan and Melissa Eddy,"Much of the burden for maintaining the momentum of Paris now shifts back to individual countries, and concrete steps for delivering on their pledges. Much of the burden for maintaining the momentum of Paris now shifts back to individual countries, and concrete steps for delivering on their pledges. PARIS — Before the applause had even settled in the suburban convention center where the Paris Agreement was adopted by consensus on Saturday night, world leaders warned that momentum from the historic accord must not be allowed to dissipate.",2015-12-13
NYT,A Sequel to the Paris Climate Accord Takes Shape in Vienna,By Coral Davenport,"Negotiators from around the world are working toward a ban on hydrofluorocarbons, coolants that replaced ozone-depleting chemicals but brought global warming problems of their own. Negotiators from around the world are working toward a ban on hydrofluorocarbons, coolants that replaced ozone-depleting chemicals but brought global warming problems of their own. WASHINGTON — When negotiators from nearly 200 countries gathered outside Paris in December for the United Nations summit meeting on climate change, they reached the first agreement to take action on curbing their planet-warming pollution.",2016-07-23
NYT,Supreme Court’s Blow to Emissions Efforts May Imperil Paris Climate Accord,By Coral Davenport,"Polluters like China and India may balk at following through on the Paris Agreement on cutting emissions if the United States fails to carry out strong policies. Polluters like China and India may balk at following through on the Paris Agreement on cutting emissions if the United States fails to carry out strong policies. WASHINGTON — The Supreme Court’s surprise decision Tuesday to halt the carrying out of President Obama’s climate change regulation could weaken or even imperil the international global warming accord reached with great ceremony in Paris less than two months ago, climate diplomats say.",2016-02-10
NYT,"Ahead of Paris Climate Talks, a Draft Climate [Agreement][Accord][Pact] Emerges",By Andrew C. Revkin,"A small team of [diplomats][functionaries] has delivered a draft climate [agreement][other] to the world’s governments. A small team of [diplomats][functionaries] has delivered a draft climate [agreement][other] to the world’s governments. It’s bracket time again in the surreal, but necessary, world of climate change diplomacy.",2015-10-06
NYT,U.S. and China Reach Climate Agreement,By REUTERS,President Obama and President Xi Jinping of China formally committed to the Paris climate agreement on Saturday. President Obama and President Xi Jinping of China formally committed to the Paris climate agreement on Saturday. President Obama and President Xi Jinping of China formally committed to the Paris climate agreement on Saturday.,2016-09-03
NYT,"In Paris, Negotiators Trim a Draft Climate Agreement, Climate Scientists Press for Nuclear Energy, Activists Prepare for Failure",By Andrew C. Revkin,"Negotiators trim a climate agreement as climate scientists press for nuclear power and activists gird for failure. Negotiators trim a climate agreement as climate scientists press for nuclear power and activists gird for failure. In theory, the goal of the Paris talks over a new global climate agreement is to create a more sustainable human relationship with the climate system by curbing emissions of greenhouse gases and boosting poor countries’ capacity to withstand climate shocks.",2015-12-04
NYT,Inside the Paris Climate Deal,"By CORAL DAVENPORT, JUSTIN GILLIS, SEWELL CHAN and MELISSA EDDY",Highlights from the final draft text of a climate agreement submitted to the delegates in Paris. Highlights from the final draft text of a climate agreement submitted to the delegates in Paris. Highlights from the final draft text of a climate agreement submitted to the delegates in Paris.,2015-12-12
NYT,Climate Conference Reaches Agreement,By REUTERS,Global leaders celebrated a landmark accord on climate change on Saturday after nearly 200 nations agreed to the deal. Global leaders celebrated a landmark accord on climate change on Saturday after nearly 200 nations agreed to the deal. Global leaders celebrated a landmark accord on climate change on Saturday after nearly 200 nations agreed to the deal.,2015-12-12
NYT,Paris Can't Be Another Copenhagen,By Kevin Rudd,"A former prime minister of Australia argues that the success of the next climate change conference hangs on cooperation between the U.S., China, India and the E.U. A former prime minister of Australia argues that the success of the next climate change conference hangs on cooperation between the U.S., China, India and the E.U. As a former prime minister of Australia, I understand something of the political costs leaders must bear in aiming to reconcile the long-term interests of the planet with short-term national interests.",2015-05-25
NYT,Putin: Climate agreement must be legally binding,By REUTERS,"Russian President Vladimir Putin says Paris climate talks should end in a ""legally binding"" agreement, at opening ceremony of international conference. Deborah Lutterbeck reports. Russian President Vladimir Putin says Paris climate talks should end in a ""legally binding"" agreement, at opening ceremony of international conference. Deborah Lutterbeck reports. Russian President Vladimir Putin says Paris climate talks should end in a ""legally binding"" agreement, at opening ceremony of international conference. Deborah Lutterbeck reports.",2015-11-30
NYT,Falling Short on Climate in Paris,By Bill McKibben,"World leaders made promises for climate action in Paris. Now they must be held accountable. World leaders made promises for climate action in Paris. Now they must be held accountable. Paris — THE climate news last week came out of Paris, where the world’s nations signed off on an agreement to finally begin addressing global warming.",2015-12-14
NYT,Protesters Are in Agreement as Well: Pact Is Too Weak,By Alissa J. Rubin and Elian Peltier,"Even as a final draft of an agreement was reached, crowds made clear their belief that it would take much more than those measures to halt global climate change. Even as a final draft of an agreement was reached, crowds made clear their belief that it would take much more than those measures to halt global climate change. PARIS — Several thousand climate activists from across Europe and many from farther afield gathered peacefully near the Arc de Triomphe on Saturday to protest the outcome of the COP 21 climate conference about 12 miles away.",2015-12-12
NYT,The Destination in Paris Climate Talks Was a Journey That Begins Now,By Andrew C. Revkin,"A long diplomatic journey sought a binding climate change accord, and a reboot seeks a long journey. A long diplomatic journey sought a binding climate change accord, and a reboot seeks a long journey. Between the tumultuous breakdown in Copenhagen in 2009 and the cheers and bubbly in Paris on Saturday, climate change diplomacy underwent a grand metamorphosis.",2015-12-12
NYT,Wrangling Appears to Give Way to a Deal in Paris Climate Talks,By Andrew C. Revkin,"A discussion of the end-game tussles in the Paris climate talks, which included some bluster from Secretary of State John Kerry. A discussion of the end-game tussles in the Paris climate talks, which included some bluster from Secretary of State John Kerry.  Agence France-Presse is reporting that a deal has been struck on final text for a climate agreement after two weeks of talks, with the draft to be presented to ministers late morning on Saturday. Sometimes, such early reports can fizzle, so stay tuned.",2015-12-11
NYT,The Paris Climate Accord,,A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas. A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas. A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas.,2015-12-12
NYT,‘Aviation’s Paris Moment’ as Nations Near Emissions Deal,By Henry Fountain,"The measure would be a major step in reducing the effect of an often-overlooked contributor to climate change: greenhouse gas emissions from overseas flights. The measure would be a major step in reducing the effect of an often-overlooked contributor to climate change: greenhouse gas emissions from overseas flights. Looking to build on momentum from the Paris climate agreement’s milestone last week, government officials will gather in Montreal beginning Tuesday for final negotiations on a deal to cap greenhouse gas emissions from international jet flights.",2016-09-26
NYT,Obama Discusses Climate Pact With Modi,By THE ASSOCIATED PRESS,"President Obama met with Prime Minister Narendra Modi of India on Tuesday, moving closer toward finalizing the Paris agreement to limit greenhouse gases. President Obama met with Prime Minister Narendra Modi of India on Tuesday, moving closer toward finalizing the Paris agreement to limit greenhouse gases. President Obama met with Prime Minister Narendra Modi of India on Tuesday, moving closer toward finalizing the Paris agreement to limit greenhouse gases.",2016-06-07
NYT,What Narendra Modi Can Do in Paris,By The Editorial Board,"The country has to be central to any accord, and its new clean energy initiatives show it can lead. The country has to be central to any accord, and its new clean energy initiatives show it can lead. India has emerged as one of the most critical participants in the Paris meeting on climate change, where delegations from 196 countries are gathered this week to hammer out an agreement to reduce carbon emissions.",2015-12-02
NYT,"In Paris, Managing Humanity’s Relationship with Earth’s Climate Becomes Normal",By Andrew C. Revkin,"Paris marks the normalization of global efforts to limit climate change and its impacts. Paris marks the normalization of global efforts to limit climate change and its impacts. The best thing about the Paris climate conference known as COP21, which began today with a round of position-staking and prodding speeches by President Obama and dozens of other world leaders, is that dealing with global warming has become normal, and that’s a good thing.",2015-11-30
NYT,Behind the Brackets as Paris Negotiators Shape a Climate Change Deal,By Andrew C. Revkin,"The final draft of a climate change agreement contains dozens of unresolved bracketed sections on vital issues just four days before negotiations in Paris end. The final draft of a climate change agreement contains dozens of unresolved bracketed sections on vital issues just four days before negotiations in Paris end. Over the weekend, negotiators in Paris produced a slimmer, but still heavily-bracketed final draft of a proposed climate change [accord][protocol][agreement][anything but a treaty] aimed at doing what the first climate treaty, adopted at the Rio Earth Summit in 1992, failed to do: curb emissions of greenhouse gases and boost the capacity of poor countries to handle climatic and coastal dangers amplified by warming.",2015-12-07
NYT,A Rare Agreement on Climate Rules,By The Editorial Board,"New rules on heavy-truck emissions show that regulators and industry can, in fact, produce a mutually acceptable result. New rules on heavy-truck emissions show that regulators and industry can, in fact, produce a mutually acceptable result. With most of President Obama’s efforts to combat climate change tied up in litigation, it is heartening, if not downright astonishing, to see an industry targeted by an aggressive rule to reduce greenhouse gases welcoming that rule. It is also heartening to be able to provide proof to a reflexively hostile Congress — whose members yap incessantly about “job-killing regulations” and “executive overreach” — that regulators and industry can, in fact, produce a mutually acceptable result.",2016-08-20
NYT,"To Achieve Paris Climate Goals, U.S. Will Need New Laws",By David Gelles,"The Paris climate accord’s goals won’t succeed in America without the aid of large corporations and substantial government regulations. The Paris climate accord’s goals won’t succeed in America without the aid of large corporations and substantial government regulations. The climate agreement reached in Paris last weekend has been hailed as a landmark in the global effort to reduce greenhouse gas emissions, and it could well turn out to be one.",2015-12-19
NYT,Could Paris Happen Here? ,By Steven Simon and Daniel Benjamin,"The United States has a geographical advantage and tighter security in the fight against ISIS. The United States has a geographical advantage and tighter security in the fight against ISIS. Hanover, N.H. — SURVEYING the aftermath of the terror attacks in Paris, most Americans probably feel despair, and a presentiment that it is only a matter of time before something similar happens here. Even as Americans have felt the pain of the French, they have worried, not surprisingly, considering 9/11, about whether their country is next.",2015-11-16
NYT,1940: War Council Meeting in Paris,By International Herald Tribune,"Highlight from the International Herald Tribune archives: The Supreme War Council discusses the military and political aspects of the war in 1940. Highlight from the International Herald Tribune archives: The Supreme War Council discusses the military and political aspects of the war in 1940. The fifth and most important Allied Supreme War Council met yesterday at the War Ministry in Paris to study the military and political aspects of the war, as well as to survey the European situation generally in view of possible early developments with the end of the winter. The question of supplies was given special emphasis, and the communiqué issued at the end of the day’s meetings stated that there was complete agreement on all questions taken up. — New York Herald Tribune, European Edition, Feb. 6, 1940",2015-02-05
NYT,Did the Supreme Court Just Kill the Paris Climate Deal? Maybe. We Explain.,By CORAL DAVENPORT and KAREN YOURISH,Answers to questions about the court’s decision to temporarily block the Obama administration’s effort to regulate emissions from coal-fired power plants. Answers to questions about the court’s decision to temporarily block the Obama administration’s effort to regulate emissions from coal-fired power plants. Answers to questions about the court’s decision to temporarily block the Obama administration’s effort to regulate emissions from coal-fired power plants.,2016-02-11
NYT,Hope From Paris,By Paul Krugman,"The Paris climate accord has a chance of making a real difference, partly because of changes in energy technology. The Paris climate accord has a chance of making a real difference, partly because of changes in energy technology. Did the Paris climate accord save civilization? Maybe. That may not sound like a ringing endorsement, but it’s actually the best climate news we’ve had in a very long time. This agreement could still follow the path of the 1997 Kyoto Protocol, which seemed like a big deal but ended up being completely ineffectual. But there have been important changes in the world since then, which may finally have created the preconditions for action on global warming before it’s too late.",2015-12-14
NYT,Tracking Views and News Out of the Paris Climate Change Talks,By Andrew C. Revkin,"A resource guide for those tracking negotiations toward a new climate change agreement in Paris A resource guide for those tracking negotiations toward a new climate change agreement in Paris If you are one of the ~6.99 billion earthlings focused on issues other than climate change as the climate treaty negotiations outside of Paris grind forward through Dec. 12, skip this post.",2015-11-30
NYT,Kerry Is Pushing for Agreement in Iran Nuclear Talks,By Michael R. Gordon,"With so much at stake in the Iranian nuclear talks, Secretary of State John Kerry’s relentless negotiating style and repeated meetings with Iran’s foreign minister have become part of the debate. With so much at stake in the Iranian nuclear talks, Secretary of State John Kerry’s relentless negotiating style and repeated meetings with Iran’s foreign minister have become part of the debate. WASHINGTON — They have spent long hours alone together. They exchange private emails. Their walk along the Rhone River in Geneva in January so unnerved hard-line lawmakers in Tehran that they signed a petition fretting about the duo’s unseemly “intimacy.”",2015-03-02
NYT,Paris and Europe’s Anti-Refugee Backlash,By Anna Sauerbrey,"How the attacks will change the politics of asylum policy in Europe. How the attacks will change the politics of asylum policy in Europe. Berlin — IN Europe, it took the right and the extreme right just hours to turn the terrible events of Paris into political fodder: On Saturday afternoon in France, Laurent Wauquiez, secretary general of the Republicans, the conservative party of former president Nicolas Sarkozy, demanded detention camps for some 4,000 people in France considered potential terrorists by the authorities.",2015-11-16
NYT,"Paris Climate Accord Is a Big, Big Deal",By Thomas L. Friedman,The agreement means we have a chance to avoid unmanageable effects of global warming and to handle the effects we can’t avoid. The agreement means we have a chance to avoid unmanageable effects of global warming and to handle the effects we can’t avoid. PARIS — I had low expectations for the U.N. climate meeting here and it met all of them — beautifully. I say that without cynicism.,2015-12-16
NYT,"In Paris, a Kenzo Family Dinner",By Grace Kiser,"Just days before their fall/winter 2016 show, the designers Carol Lim and Humberto Leon went out for a big, festive meal with their mothers. Just days before their fall/winter 2016 show, the designers Carol Lim and Humberto Leon went out for a big, festive meal with their mothers. “When you eat a meal, you’re in the present,” says the designer Carol Lim. She and Humberto Leon, the duo behind Opening Ceremony and Kenzo, along with their families, were seated around a long table at Han Shi Fang, a lively hot pot restaurant near the Place de la République in Paris. “Normally you’re working on something for the future or you might be reminiscing about the past, but food is one of the few things that you can just enjoy in the moment.”",2016-03-08
NYT,Paris Deal Would Herald an Important First Step on Climate Change,By Coral Davenport,"There are reasons to believe the Paris negotiations are different from previous failed efforts, but an agreement would hardly halt global warming. There are reasons to believe the Paris negotiations are different from previous failed efforts, but an agreement would hardly halt global warming. PARIS — President Obama and more than 100 world leaders will convene with thousands of diplomats on Monday on the outskirts of Paris to open two weeks of intense negotiations aimed at forging an accord that could begin to avert the most devastating effects of global warming and redefine the economy of the 21st century.",2015-11-29
NYT,"In Paris, Young Designers Who Are Also Friends",By Matthew Schneier,"Big names in the next generation of French fashion support each other, both in the front row — and on the dance floor. Big names in the next generation of French fashion support each other, both in the front row — and on the dance floor. In a business like fashion, fueled by gossip and intrigue, rivalry and enmity can burn bright — and nowhere brighter than in Paris, the city of Lagerfeld and (or better still, “versus”) Saint Laurent, Mugler and Montana, Schiaparelli and Chanel. So it may come as a surprise that one morning on the cusp of Paris Fashion Week, five young designers, each with their own upstart business, would cheerfully gather around a breakfast table to share suppliers, buyers — and orange juice.",2015-10-14
NYT,U.N. Signals That Climate Deal Has Backing Needed to Enter Force,By Coral Davenport,"Haste on the Paris accord is driven at least in part by the looming American election, with Donald J. Trump, the Republican candidate, vowing to reject the pact. Haste on the Paris accord is driven at least in part by the looming American election, with Donald J. Trump, the Republican candidate, vowing to reject the pact. UNITED NATIONS — The United Nations secretary general, Ban Ki-moon, is expected to announce on Wednesday that he has secured enough commitments from world leaders to ensure that the 2015 Paris climate accord will enter into legal force this year, binding the next American president, whoever it is.",2016-09-20
NYT,The Paris Climate Pact Will Need Strong Follow-Up,By The Editorial Board,The global agreement out of Paris is a monumental moment in human history. Now comes the hard part. The global agreement out of Paris is a monumental moment in human history. Now comes the hard part. Paris is over. The cheering and high-fiving have died down. Now comes the hard part.,2015-12-15
NYT,"Fanfare Over, Paris Climate Talks Shift to Back Rooms and Brackets",By Andrew C. Revkin,"With world leaders gone, the Paris climate talks now get down to the grunt work of thinning forests of brackets in a proposed agreement — and finding ways to stay sane. With world leaders gone, the Paris climate talks now get down to the grunt work of thinning forests of brackets in a proposed agreement — and finding ways to stay sane. Now that President Obama and other heads of state have left Paris after a round of announcements and events, thousands of diplomats and functionaries — pestered by lobbyists, campaigners and journalists — are getting on with the grunt work of the 21st Conference of the Parties, which is aiming to improve on the ineffectual 1992 Framework Convention on Climate Change and replace a problematic subsequent agreement, the Kyoto Protocol.",2015-12-02
NYT,"In Paris, Art Confronts 2 Crises",By Elian Peltier,"The Nov. 13 terror attacks altered their plans, but artists found ways to address climate change in a number of arresting ways. The Nov. 13 terror attacks altered their plans, but artists found ways to address climate change in a number of arresting ways. PARIS — The terror attacks on Nov. 13 traumatized Paris and gave rise to new fears about extremism, but the attackers’ focus on cultural and street life also cast a cloud over a celebration of environmentally themed art tied to the United Nations climate conference, or COP 21, where negotiators are trying to reach a global agreement on limiting greenhouse gas emissions.",2015-12-09
NYT,"A Path for Climate Change, Beyond Paris",By Justin Gillis,The emission pledges that countries have signaled they will make in Paris will inevitably fall short. What would a truly ambitious plan to tackle climate change look like? The emission pledges that countries have signaled they will make in Paris will inevitably fall short. What would a truly ambitious plan to tackle climate change look like? The pledges that countries have signaled they will make in Paris over the next two weeks to cut emissions will inevitably fall short of what is needed to solve the problem of climate change.,2015-12-01
NYT,"Paris Fair Crosses the Road, Giving Art Room to Breathe",By Celestine Bohlen,"FIAC expands again, adding Petit Palais and Avenue Winston Churchill to the annual festival of contemporary art. FIAC expands again, adding Petit Palais and Avenue Winston Churchill to the annual festival of contemporary art. The Grand Palais and the Petit Palais, both built for the 1900 Universal Exposition in Paris, have long been separated by a wide and busy street that links this city’s Right and Left Banks.",2016-10-20
NYT,Profile Emerges of Suspect in Attack on Train to Paris,By Steven Erlanger,"The gunman is believed to be Ayoub El Kahzani, of Moroccan origin, who was known to the Spanish and French security services and is reported to have traveled to Syria last year. The gunman is believed to be Ayoub El Kahzani, of Moroccan origin, who was known to the Spanish and French security services and is reported to have traveled to Syria last year. LONDON — The young man who emerged from a Thalys train bathroom on Friday with a Kalashnikov assault rifle, pistol and box cutter is believed to be Ayoub El Kahzani, 26, of Moroccan origin, who was known to the Spanish and French security services and is reported to have traveled to Syria last year.",2015-08-22
NYT,Inquiry Into Paris Terror Attacks Widens to Eastern Europe,By Andrew Higgins,"The disclosure of a Hungarian connection to the attacks has raised the question of whether jihadist militants have joined a flow of asylum seekers. The disclosure of a Hungarian connection to the attacks has raised the question of whether jihadist militants have joined a flow of asylum seekers. BRUSSELS — The investigation into the Paris terrorist attacks, previously focused on jihadist networks in France and Belgium, has widened to Eastern Europe, with a Belgian federal prosecutor announcing Friday that one of the people suspected of terrorism traveled in September by car to Hungary, where he picked up two men now believed to have links to the carnage of Nov. 13.",2015-12-04
NYT,Diplomats Confront New Threat to Paris Climate Pact: Donald Trump,By Coral Davenport,"Amid Mr. Trump’s calls to withdraw from the accord, some negotiators began planning how to punish the United States if he follows through. Amid Mr. Trump’s calls to withdraw from the accord, some negotiators began planning how to punish the United States if he follows through. MARRAKESH, Morocco — Diplomats from around the world converged here this week with the plan to put details on last year’s Paris climate accord and move the globe closer to controlling the industrial emissions that are heating the planet.",2016-11-19
